time,water_level_m,salinity_ppt,doc_mg_c_l
1850-06-13,0.3040264546294103,5.0,10.0
1850-06-14,0.27336172742274695,5.0,10.0
1850-06-15,0.28792054620601903,5.0,10.0
1850-06-16,0.29924663618884323,5.0,10.0
1850-06-17,0.3014287267029283,5.0,10.0
1850-06-18,0.3206519088720733,5.0,10.0
1850-06-19,0.32660936203707375,5.0,10.0
1850-06-20,0.3155719082114369,5.0,10.0
1850-06-21,0.32372299850393416,5.0,10.0
1850-06-22,0.33385990946501143,5.0,10.0
1850-06-23,0.3272674535658551,5.0,10.0
1850-06-24,0.3205595456850801,5.0,10.0
1850-06-25,0.3052387276113034,5.0,10.0
1850-06-26,0.30222536290037355,5.0,10.0
1850-06-27,0.3095336364427752,5.0,10.0
1850-06-28,0.2985192723171276,5.0,10.0
1850-06-29,0.28714700087844,5.0,10.0
1850-06-30,0.27084481747843,5.0,10.0
1850-07-01,0.25517763603624294,5.0,10.0
1850-07-02,0.2377209092805839,5.0,10.0
1850-07-03,0.22379709084225297,5.0,10.0
1850-07-04,0.22851918144580005,5.0,10.0
1850-07-05,0.23996072672847674,5.0,10.0
1850-07-06,0.25853736250915305,5.0,10.0
1850-07-07,0.2566439083371989,5.0,10.0
1850-07-08,0.2567247272892432,5.0,10.0
1850-07-09,0.2472920896848492,5.0,10.0
1850-07-10,0.23402846249073495,5.0,10.0
1850-07-11,0.21777959956057408,5.0,10.0
1850-07-12,0.20722589946292347,5.0,10.0
1850-07-13,0.2606548010718822,5.0,10.0
1850-07-14,0.2765806003871002,5.0,10.0
1850-07-15,0.2665983988336851,5.0,10.0
1850-07-16,0.24857710027024135,5.0,10.0
1850-07-17,0.25723850075319366,5.0,10.0
1850-07-18,0.2735453001663462,5.0,10.0
1850-07-19,0.2702179002028704,5.0,10.0
1850-07-20,0.27139900028765196,5.0,10.0
1850-07-21,0.2745993998849393,5.0,10.0
1850-07-22,0.2729964394864658,5.0,10.0
1850-07-23,0.26192479908954397,5.0,10.0
1850-07-24,0.2377566996179148,5.0,10.0
1850-07-25,0.2283967993137984,5.0,10.0
1850-07-26,0.23181309921378274,5.0,10.0
1850-07-27,0.24436070004513458,5.0,10.0
1850-07-28,0.23722330004617592,5.0,10.0
1850-07-29,0.22552659876054176,5.0,10.0
1850-07-30,0.215074500193503,5.0,10.0
1850-07-31,0.22037040012480685,5.0,10.0
1850-08-01,0.23618189905935888,5.0,10.0
1850-08-02,0.24406859910070908,5.0,10.0
1850-08-03,0.24902159923128778,5.0,10.0
1850-08-04,0.25082500043762845,5.0,10.0
1850-08-05,0.2465831995223465,5.0,10.0
1850-08-06,0.25064719884721576,5.0,10.0
1850-08-07,0.24945340002829205,5.0,10.0
1850-08-08,0.2423032989225348,5.0,10.0
1850-08-09,0.240868200156316,5.0,10.0
1850-08-10,0.24425909985343003,5.0,10.0
1850-08-11,0.24895810014344727,5.0,10.0
1850-08-12,0.2410079007327553,5.0,10.0
1850-08-13,0.22831152827204343,5.0,10.0
1850-08-14,0.23663275006055792,5.0,10.0
1850-08-15,0.23874845444979992,5.0,10.0
1850-08-16,0.25159854486952093,5.0,10.0
1850-08-17,0.26534918186772943,5.0,10.0
1850-08-18,0.2612389999521725,5.0,10.0
1850-08-19,0.2689282727097245,5.0,10.0
1850-08-20,0.27989645460962564,5.0,10.0
1850-08-21,0.2795847269675273,5.0,10.0
1850-08-22,0.26234736298097466,5.0,10.0
1850-08-23,0.24546790903215723,5.0,10.0
1850-08-24,0.25536236404246565,5.0,10.0
1850-08-25,0.2710526352857156,5.0,10.0
1850-08-26,0.30941818139453175,5.0,10.0
1850-08-27,0.3538681817343121,5.0,10.0
1850-08-28,0.39028254498470216,5.0,10.0
1850-08-29,0.4043910906378688,5.0,10.0
